ID P-VALUE
RNF14 0.000161039883649
FXYD6 0.000317684197235
TM2D3 0.000148518299793
MOCS3 0.000536212381611
CHN2 0.000529396830475
RBM4B 0.000230106705634
MFAP1 0.000285313960061
APOC1 0.000353583605687
LEPROT 0.000216539832926
SLC25A12 4.69374230112e-05
SETD4 0.000378877267626
ANKMY2 0.00020745277128
ZC3H14 1.75674117192e-05
MKLN1 0.000230525150122
SCN4A 0.000702104996176
RPE 0.000653972646192
CARHSP1 0.000198116849094
METTL7A 0.000113851341006
RNMTL1 0.000686162821871
LARP6 0.000484854938299
VRK2 0.000625754583287
HLA-DRB1 6.43958261431e-05
TREM2 0.00011399040379
HTR4 0.000222815979307
PEX11B 0.000138366372939
TDP1 0.000331706814311
SHMT1 0.00017706684516
NUCB2 0.000677745422774
SOCS5 0.000204137481509
RAB27B 0.000719063555563
MBTPS2 0.000367046855953
ARID5A 0.000322790396771
EDIL3 0.000482721835832
ZNF280D 7.49613898974e-06
TTC13 3.39772261257e-05
LOC100289848 0.000186785355646
ABCE1 0.000499540886895
CH25H 3.94319157744e-05
IL7R 0.000800421421995
COPS2 0.000431104454611
SCEL 5.68319189357e-05
DES 0.000681806994518
RIT1 0.000475319552958
SPOCK2 0.000516740876222
MED6 0.000612181124313
RAD1 0.00025744849739
LOC100293124 7.05955832244e-05
UFSP2 0.000499709074988
C19orf66 0.000728338919486
RWDD2B 6.28948289703e-05
EXO1 0.000641706450653
MPHOSPH6 0.000252595896378
DERL2 0.000506738088704
B4GALT2 0.000196359666758
CHEK1 5.60553025273e-05
TSPYL4 0.000291117539539
MAG 0.000437669773041
VEGFC 0.000635413311923
ANAPC1 0.000173777975941
KIAA0753 0.000214919473621
GPHN 7.84682495935e-05
C7orf25 0.000107917849674
PEX3 2.72087170872e-05
ELP4 0.000195567691095
TNP1 0.000192025625361
AP1G1 6.41626712588e-05
IRF9 0.000760467223025
PCID2 2.00135318018e-05
SDC4 4.21404987238e-05
RPL27AP 0.000810562056123
STRN 0.000178506489006
TTC35 0.000483982181856
KRT10 0.000730414193417
GPD1L 0.000149354079953
ASCC1 0.000600046711599
LCK 0.000560688031791
TMEM135 0.000182442974712
TINAGL1 0.000233850904829
XKRY 0.00014320569399
C12orf11 0.000389015316448
FBXO7 0.000195802062997
HUS1 0.000220610486696
MOCOS 6.56243642675e-06
MRPS30 0.000465571953173
S1PR5 0.000681755373798
THYN1 0.00045249748195
MOBP 9.34730810491e-05
DUSP6 0.000572289469531
HNRNPD 0.000378025743137
TUG1 0.000397526879364
PDAP1 0.00082725500788
AIM1 0.00081041717334
LGALS9 0.000268132219861
ARID3B 0.000499077876147
RIOK2 0.000171209585601
CRTAM 0.000161604400404
BRWD1 4.30932862407e-05
MYL12A 0.000588678447231
SKIV2L2 0.000208472338406
CSE1L 7.52663617343e-05
GPSM3 0.000433392020112
MSH2 0.000109063934667
ERCC6 0.000806052533611
NFYA 0.000253392051879
DCAF17 0.000225122846223
PGLYRP4 0.000231102390243
RCHY1 0.000389066875824
CNIH4 0.000227762780663
CBR4 0.000578545595898
NUP98 0.000205743280698
WARS2 4.29043938526e-05
RAB38 0.000670149931635
MED14 3.29932661869e-05
UBE2G1 0.000356099767817
GIN1 7.12168567051e-06
C1orf112 7.19978398341e-06
MCM10 0.000111165901707
INTS6 0.000553535338737
ANXA7 3.68492149343e-05
ATP10A 7.21036900977e-06
PDIA3 0.000702391555341
MNS1 0.000656468975225
PXMP3 0.000197723019348
MTAP 0.000251551359267
CAMK2N1 0.000736806508338
BRAP 0.000378764498937
CALR 0.000702921404348
CSTF1 2.51099318537e-05
RPA2 0.000824660470176
COQ9 0.000293340837477
PTPRO 0.000276407307914
ATP6V1C1 0.000199242882751
C2orf43 3.9937122155e-05

